iter	Passed	Remaining
0	51	51674
1	53	26658
2	54	18229
3	56	14038
4	57	11533
5	62	10330
6	63	9001
7	64	7983
8	65	7167
9	66	6534
10	66	6004
11	67	5560
12	68	5182
13	69	4867
14	69	4587
15	70	4338
16	71	4146
17	72	3949
18	72	3765
19	73	3598
20	74	3454
21	74	3315
22	75	3193
23	75	3082
24	76	2974
25	76	2875
26	77	2784
27	77	2698
28	78	2622
29	78	2548
30	79	2483
31	80	2420
32	80	2358
33	81	2302
34	81	2246
35	81	2194
36	82	2145
37	82	2099
38	83	2060
39	84	2022
40	84	1982
41	85	1943
42	85	1907
43	86	1873
44	86	1839
45	87	1807
46	89	1810
47	89	1780
48	90	1752
49	90	1724
50	91	1699
51	91	1674
52	92	1648
53	92	1623
54	93	1601
55	93	1578
56	94	1557
57	94	1536
58	95	1516
59	95	1501
60	96	1483
61	96	1466
62	97	1448
63	98	1434
64	98	1419
65	99	1407
66	99	1391
67	100	1375
68	100	1360
69	101	1344
70	101	1330
71	102	1316
72	102	1302
73	103	1290
74	103	1278
75	104	1265
76	104	1254
77	105	1242
78	105	1231
79	106	1220
80	107	1214
81	107	1206
82	108	1195
83	109	1191
84	109	1181
85	110	1175
86	111	1166
87	111	1157
88	112	1148
89	112	1140
90	113	1131
91	113	1123
92	114	1115
93	114	1106
94	115	1098
95	115	1089
96	116	1080
97	116	1071
98	116	1063
99	117	1054
100	117	1047
101	118	1039
102	118	1032
103	119	1025
104	119	1018
105	119	1011
106	120	1005
107	120	998
108	121	991
109	121	984
110	121	976
111	122	969
112	122	962
113	122	955
114	123	949
115	123	942
116	123	935
117	124	929
118	124	922
119	125	917
120	125	911
121	125	904
122	126	898
123	126	892
124	126	887
125	127	882
126	127	876
127	127	870
128	128	865
129	128	861
130	129	857
131	129	852
132	130	848
133	130	845
134	131	840
135	131	835
136	131	830
137	132	825
138	132	820
139	132	815
140	133	811
141	133	805
142	133	801
143	134	796
144	134	793
145	134	788
146	135	784
147	135	779
148	135	775
149	136	771
150	136	767
151	136	763
152	137	760
153	137	756
154	137	752
155	138	748
156	138	745
157	139	741
158	139	737
159	139	733
160	140	729
161	140	729
162	141	726
163	141	722
164	142	719
165	142	716
166	142	712
167	143	710
168	143	707
169	144	703
170	144	700
171	144	697
172	145	693
173	145	690
174	145	687
175	146	685
176	146	681
177	147	678
178	147	675
179	147	672
180	148	669
181	148	667
182	148	664
183	149	661
184	149	658
185	149	656
186	150	653
187	150	650
188	151	648
189	151	646
190	152	645
191	153	644
192	153	641
193	154	641
194	154	638
195	155	636
196	155	634
197	156	632
198	156	630
199	157	628
200	157	626
201	157	623
202	158	621
203	158	619
204	159	617
205	159	614
206	159	612
207	160	610
208	160	607
209	161	605
210	161	603
211	161	601
212	162	600
213	163	599
214	163	597
215	164	595
216	164	593
217	164	591
218	165	589
219	165	587
220	165	585
221	166	583
222	166	581
223	167	579
224	167	577
225	168	575
226	168	574
227	168	571
228	169	570
229	169	568
230	170	566
231	170	564
232	170	562
233	171	560
234	171	558
235	172	556
236	172	555
237	172	553
238	176	560
239	176	558
240	176	556
241	177	554
242	177	552
243	177	551
244	178	549
245	178	547
246	179	545
247	179	544
248	179	542
249	180	540
250	180	538
251	180	537
252	181	535
253	181	533
254	181	531
255	182	529
256	182	528
257	183	526
258	183	525
259	184	523
260	184	522
261	184	520
262	185	518
263	185	517
264	185	515
265	186	514
266	186	512
267	187	512
268	188	511
269	188	509
270	189	508
271	189	507
272	189	505
273	190	504
274	190	502
275	190	500
276	191	499
277	191	498
278	192	496
279	192	495
280	193	493
281	193	492
282	193	491
283	194	489
284	194	488
285	195	487
286	195	485
287	196	484
288	196	483
289	196	482
290	197	481
291	197	479
292	198	478
293	198	477
294	199	476
295	199	475
296	200	474
297	201	473
298	201	472
299	201	471
300	202	469
301	202	468
302	203	467
303	203	465
304	203	464
305	204	463
306	204	461
307	205	460
308	205	459
309	205	457
310	206	456
311	206	455
312	206	454
313	207	452
314	207	451
315	208	450
316	208	448
317	208	447
318	209	446
319	209	445
320	210	445
321	211	444
322	211	443
323	212	442
324	212	441
325	213	440
326	213	439
327	214	438
328	214	437
329	215	436
330	215	435
331	216	434
332	216	433
333	217	433
334	218	432
335	218	431
336	219	431
337	219	430
338	220	429
339	220	428
340	221	427
341	221	426
342	224	429
343	224	428
344	225	427
345	225	426
346	226	426
347	227	425
348	228	425
349	228	424
350	229	423
351	229	423
352	230	422
353	230	421
354	231	420
355	231	419
356	232	418
357	232	417
358	233	416
359	234	416
360	236	417
361	236	417
362	237	417
363	238	417
364	239	416
365	239	415
366	240	414
367	240	413
368	241	412
369	241	411
370	242	410
371	242	409
372	243	408
373	243	407
374	243	406
375	244	405
376	245	405
377	245	404
378	246	404
379	247	403
380	248	403
381	248	402
382	249	401
383	250	401
384	251	400
385	251	400
386	252	399
387	253	400
388	254	400
389	255	399
390	256	399
391	257	399
392	259	400
393	259	399
394	260	398
395	260	398
396	261	397
397	262	396
398	262	395
399	263	394
400	263	393
401	264	392
402	264	391
403	264	390
404	265	389
405	268	392
406	268	391
407	269	390
408	269	389
409	270	388
410	270	387
411	271	386
412	271	386
413	272	385
414	273	384
415	274	384
416	274	384
417	275	383
418	275	382
419	276	382
420	277	381
421	278	380
422	278	379
423	279	379
424	279	378
425	279	377
426	280	376
427	280	375
428	280	373
429	281	372
430	281	371
431	282	370
432	282	369
433	282	368
434	283	367
435	283	366
436	284	366
437	284	365
438	284	364
439	285	363
440	285	362
441	286	361
442	286	360
443	287	359
444	287	359
445	288	358
446	289	357
447	289	356
448	289	355
449	290	355
450	290	354
451	291	353
452	291	352
453	292	351
454	292	350
455	293	349
456	293	348
457	293	347
458	294	346
459	294	345
460	295	345
461	295	344
462	296	343
463	296	342
464	297	341
465	297	340
466	297	340
467	298	339
468	299	338
469	299	337
470	299	336
471	300	335
472	300	335
473	301	334
474	301	333
475	302	332
476	302	331
477	303	330
478	303	330
479	303	329
480	304	328
481	304	327
482	305	326
483	305	325
484	306	325
485	306	324
486	306	323
487	307	322
488	307	321
489	308	320
490	308	319
491	308	318
492	309	317
493	309	317
494	310	316
495	310	315
496	311	315
497	312	314
498	312	314
499	313	313
500	314	312
501	314	311
502	315	312
503	316	311
504	316	310
505	317	310
506	318	309
507	319	309
508	320	309
509	321	308
510	321	308
511	322	307
512	324	308
513	325	307
514	326	307
515	328	307
516	329	307
517	329	306
518	330	306
519	331	305
520	333	306
521	333	305
522	335	305
523	337	306
524	338	306
525	339	305
526	340	305
527	341	305
528	344	306
529	344	305
530	345	305
531	346	304
532	347	304
533	347	303
534	348	302
535	354	306
536	354	305
537	355	304
538	355	304
539	356	303
540	356	302
541	357	301
542	357	300
543	358	300
544	358	299
545	359	298
546	360	298
547	361	298
548	362	297
549	362	296
550	363	295
551	363	294
552	364	294
553	364	293
554	365	292
555	365	292
556	366	291
557	366	290
558	367	289
559	367	288
560	367	287
561	368	287
562	368	286
563	369	285
564	369	284
565	370	284
566	370	283
567	371	282
568	371	281
569	372	281
570	372	280
571	373	279
572	373	278
573	374	277
574	374	276
575	375	276
576	375	275
577	376	274
578	376	273
579	377	273
580	377	272
581	378	271
582	378	270
583	378	269
584	379	269
585	379	268
586	380	267
587	380	266
588	380	265
589	381	265
590	382	264
591	382	263
592	383	263
593	383	262
594	384	261
595	384	260
596	385	259
597	385	259
598	385	258
599	386	257
600	386	256
601	386	255
602	387	255
603	387	254
604	388	253
605	388	252
606	388	251
607	389	250
608	389	250
609	389	249
610	390	248
611	390	247
612	391	246
613	391	246
614	392	245
615	392	244
616	392	243
617	393	243
618	394	242
619	394	241
620	395	241
621	395	240
622	396	239
623	396	238
624	396	238
625	397	237
626	397	236
627	398	235
628	398	234
629	398	234
630	399	233
631	399	232
632	399	231
633	400	231
634	400	230
635	401	229
636	401	228
637	401	228
638	402	227
639	402	226
640	403	225
641	403	224
642	403	224
643	404	223
644	404	222
645	405	222
646	405	221
647	406	220
648	406	220
649	407	219
650	407	218
651	408	217
652	408	217
653	408	216
654	409	215
655	409	214
656	409	214
657	410	213
658	410	212
659	411	211
660	411	211
661	411	210
662	412	209
663	412	208
664	413	208
665	413	207
666	414	206
667	414	205
668	414	205
669	415	204
670	415	203
671	416	203
672	416	202
673	417	201
674	418	201
675	419	200
676	419	200
677	420	199
678	421	199
679	422	198
680	422	197
681	423	197
682	423	196
683	423	195
684	424	195
685	424	194
686	425	193
687	425	192
688	426	192
689	426	191
690	427	191
691	427	190
692	427	189
693	428	188
694	428	188
695	429	187
696	429	186
697	430	186
698	430	185
699	431	184
700	431	184
701	432	183
702	432	182
703	432	182
704	433	181
705	433	180
706	434	179
707	434	179
708	434	178
709	435	177
710	435	177
711	435	176
712	436	175
713	436	174
714	437	174
715	437	173
716	437	172
717	438	172
718	438	171
719	439	170
720	439	170
721	439	169
722	440	168
723	440	168
724	441	167
725	441	166
726	441	165
727	442	165
728	442	164
729	443	163
730	443	163
731	444	162
732	444	161
733	444	161
734	445	160
735	445	159
736	446	159
737	446	158
738	446	157
739	447	157
740	447	156
741	448	155
742	448	155
743	448	154
744	449	153
745	449	153
746	449	152
747	450	151
748	450	151
749	451	150
750	451	149
751	451	149
752	452	148
753	452	147
754	453	147
755	453	146
756	453	145
757	454	145
758	457	145
759	458	144
760	459	144
761	460	143
762	460	143
763	461	142
764	461	141
765	461	141
766	462	140
767	462	139
768	463	139
769	463	138
770	463	137
771	464	137
772	464	136
773	464	135
774	465	135
775	465	134
776	465	133
777	466	133
778	466	132
779	467	131
780	467	131
781	467	130
782	468	129
783	468	129
784	469	128
785	469	127
786	469	127
787	470	126
788	470	125
789	470	125
790	471	124
791	471	123
792	471	123
793	472	122
794	472	121
795	473	121
796	473	120
797	473	119
798	474	119
799	474	118
800	474	117
801	475	117
802	475	116
803	476	116
804	476	115
805	476	114
806	477	114
807	477	113
808	478	112
809	478	112
810	479	111
811	479	111
812	480	110
813	480	109
814	481	109
815	481	108
816	481	107
817	482	107
818	482	106
819	483	106
820	483	105
821	483	104
822	484	104
823	484	103
824	484	102
825	485	102
826	485	101
827	486	100
828	486	100
829	486	99
830	487	99
831	487	98
832	488	97
833	488	97
834	489	96
835	489	96
836	489	95
837	490	94
838	490	94
839	492	93
840	492	93
841	493	92
842	493	91
843	494	91
844	494	90
845	495	90
846	495	89
847	496	88
848	496	88
849	496	87
850	497	87
851	497	86
852	498	85
853	498	85
854	499	84
855	499	84
856	500	83
857	500	82
858	500	82
859	501	81
860	501	80
861	502	80
862	502	79
863	502	79
864	503	78
865	504	78
866	504	77
867	505	76
868	505	76
869	505	75
870	506	74
871	506	74
872	507	73
873	507	73
874	508	72
875	508	71
876	508	71
877	509	70
878	509	70
879	509	69
880	510	68
881	510	68
882	511	67
883	511	67
884	512	66
885	512	65
886	512	65
887	513	64
888	513	64
889	514	63
890	514	62
891	514	62
892	515	61
893	515	61
894	516	60
895	516	59
896	517	59
897	517	58
898	518	58
899	518	57
900	518	56
901	519	56
902	519	55
903	519	55
904	520	54
905	520	54
906	520	53
907	521	52
908	521	52
909	522	51
910	522	51
911	522	50
912	523	49
913	523	49
914	524	48
915	524	48
916	524	47
917	525	46
918	525	46
919	525	45
920	526	45
921	526	44
922	527	43
923	528	43
924	528	42
925	531	42
926	531	41
927	532	41
928	532	40
929	532	40
930	533	39
931	533	38
932	534	38
933	534	37
934	534	37
935	535	36
936	535	36
937	536	35
938	536	34
939	537	34
940	537	33
941	537	33
942	538	32
943	538	31
944	540	31
945	540	30
946	541	30
947	541	29
948	541	29
949	542	28
950	543	28
951	544	27
952	545	26
953	546	26
954	547	25
955	548	25
956	549	24
957	553	24
958	553	23
959	554	23
960	554	22
961	556	21
962	557	21
963	558	20
964	558	20
965	559	19
966	560	19
967	560	18
968	561	17
969	561	17
970	562	16
971	563	16
972	564	15
973	565	15
974	565	14
975	566	13
976	568	13
977	568	12
978	569	12
979	570	11
980	570	11
981	571	10
982	571	9
983	572	9
984	573	8
985	573	8
986	574	7
987	575	6
988	576	6
989	576	5
990	577	5
